,x,y,hour,yday
0,36000.0,-1437500.0,0,250
1,36007.59071196475,-1437697.8838701467,1,250
2,36020.991267582314,-1437719.4847357324,2,250
3,35100.915475424874,-1437452.2971502328,3,250
4,35283.47860532468,-1437464.4298833855,4,250
5,35094.05892363461,-1437441.9240080798,5,250
6,34641.33463123522,-1437620.7812471543,6,250
7,35182.38122614258,-1437670.781933085,7,250
8,35257.060097969195,-1437649.5201494854,8,250
9,34923.643851398825,-1437694.8934227189,9,250
10,34133.53041703823,-1437676.3173214176,10,250
11,34061.81148918708,-1437687.014538296,11,250
12,35167.99321461213,-1438021.2729137717,12,250
13,34897.008487409694,-1438175.038855067,13,250
14,34713.94985897468,-1437855.8002517056,14,250
15,34481.25392242214,-1437717.457090299,15,250
16,35239.313002365525,-1438133.7796176134,16,250
17,34976.69488674593,-1437597.614059534,17,250
18,35028.72333996544,-1437699.1587871704,18,250
19,35296.066935450166,-1437727.1304814601,19,250
20,35210.04412053274,-1437677.8561943788,20,250
21,35145.90678247058,-1437685.9174876553,21,250
22,35096.918058222014,-1437643.3742329828,22,250
23,34635.74817538884,-1437562.7481277345,23,250
24,34583.48439227234,-1437654.5536173887,0,251
25,34543.47749030384,-1437584.1642586351,1,251
26,34438.02681779738,-1437835.542346531,2,251
27,34961.88706562218,-1438112.3887328124,3,251
28,34889.59162641558,-1438116.1202773096,4,251
29,34859.5080025164,-1437973.7189206553,5,251
30,34923.8647482869,-1438100.3913501855,6,251
31,35345.073923625365,-1437360.8280106538,7,251
32,35364.61566940696,-1437308.8310201294,8,251
33,35352.66900998431,-1437387.7548324119,9,251
34,35279.63371410495,-1437474.1663969376,10,251
35,35282.17556138668,-1437518.5359543404,11,251
36,35268.95088003872,-1437543.177644925,12,251
37,35275.835156998466,-1437521.54290295,13,251
38,35349.27634731403,-1437548.3703666064,14,251
39,35294.71024071644,-1437611.001583906,15,251
40,35412.023123230596,-1437554.3266411328,16,251
41,35559.808627293176,-1437896.9833470732,17,251
42,35626.23140421437,-1437972.6387483503,18,251
43,35819.2961195092,-1438152.8138420105,19,251
44,35719.16063748696,-1437574.5071850074,20,251
45,35781.73635722475,-1437111.6002509913,21,251
46,35745.68208158657,-1437478.9588885424,22,251
47,35761.16381799784,-1437476.910088749,23,251
48,35902.243581441595,-1437299.1413084182,0,252
49,35863.828955571196,-1437232.0497158098,1,252
50,35795.83876310266,-1437390.734584648,2,252
51,35713.12667745083,-1437479.953420205,3,252
52,35715.14889879288,-1436448.9884024428,4,252
53,35746.327061199525,-1436475.591746731,5,252
54,35809.426256781146,-1436647.2963209476,6,252
55,35638.2722306856,-1436716.0613401844,7,252
56,35675.492713834894,-1436825.3499450467,8,252
57,35497.178244909635,-1436851.1240175506,9,252
58,35438.87411100954,-1436965.0883771635,10,252
59,35445.971156871456,-1436987.4584024088,11,252
60,35108.20787522927,-1436205.3278303335,12,252
61,34999.60060954317,-1436692.395977945,13,252
62,34999.77993481658,-1436689.5581438446,14,252
63,35032.81825530991,-1436528.6180289574,15,252
64,35044.690030368394,-1436424.1648794822,16,252
65,35006.99231789857,-1436253.390670482,17,252
66,34962.96082909895,-1436216.559209933,18,252
67,34984.55461136356,-1436253.016354177,19,252
68,34992.08177552147,-1436229.78111596,20,252
69,35023.97371466187,-1436223.9472977263,21,252
70,35206.93857689702,-1436244.9254436197,22,252
71,36059.70725489701,-1436172.3272839244,23,252
72,36177.99847521474,-1436212.4676972984,0,253
73,36209.9760890854,-1435602.480640842,1,253
74,35751.25074811139,-1435603.5679973108,2,253
75,35898.23230243728,-1435345.4132322469,3,253
76,35968.40382069233,-1435598.124292335,4,253
77,36966.504285392126,-1435558.157133931,5,253
78,37163.30678916702,-1435468.0068322318,6,253
79,37291.48422624583,-1435859.2896542102,7,253
80,37333.28992213638,-1436006.1057269154,8,253
81,37372.30881202326,-1435792.9583623447,9,253
82,37404.744009077345,-1435849.6279093688,10,253
83,37772.70600699524,-1435919.2070918253,11,253
84,37758.83859002296,-1435842.297531272,12,253
85,37620.04802603884,-1435970.2192987276,13,253
86,37863.90715461843,-1436112.3055705023,14,253
87,38201.63565489523,-1435846.2922914242,15,253
88,37924.039704537536,-1435935.627624999,16,253
89,37852.47701104441,-1436222.3648659787,17,253
90,37672.257755834966,-1436209.6762987252,18,253
91,37396.378166422415,-1436002.5900612972,19,253
92,37812.301580991625,-1436153.3370047638,20,253
93,37751.70607430156,-1436057.4554124179,21,253
94,38235.1024839553,-1436088.6920739631,22,253
95,38236.366769035754,-1435952.2736798343,23,253
96,38180.4788585431,-1435968.052362101,0,254
97,38105.76245079304,-1436420.4828077017,1,254
98,37904.867315110896,-1436428.1106514747,2,254
99,37934.48448715981,-1436409.113031741,3,254
100,37938.4441867927,-1436386.320542799,4,254
101,38048.562456504216,-1436311.4905588815,5,254
102,39140.608507850884,-1436921.5171861227,6,254
103,39153.32670554589,-1436958.443962091,7,254
104,39124.08014279929,-1437001.0168217686,8,254
105,39237.0793209034,-1436899.5603995877,9,254
106,39321.00643986968,-1436970.5361157374,10,254
107,39318.54025727355,-1436891.7189972633,11,254
108,39567.79478780652,-1437236.105897814,12,254
109,39555.652420209546,-1437234.8153482014,13,254
110,39556.583407393715,-1437263.387821659,14,254
111,39561.74995054049,-1437304.3179119779,15,254
112,39712.5999774734,-1437419.7371656052,16,254
113,39752.220458621734,-1437368.0459329926,17,254
114,39747.08788886627,-1437395.5422521618,18,254
115,39615.65701069469,-1437459.885084939,19,254
116,39693.973442093105,-1437482.3849128482,20,254
117,39733.02525942185,-1437715.0791606614,21,254
118,39713.11533078623,-1437760.9514082815,22,254
119,40031.932823266696,-1437414.79753587,23,254
120,40312.9781751419,-1437091.9636050102,0,255
121,40419.55325862086,-1436701.910749415,1,255
122,40449.99773637654,-1436775.3056079627,2,255
123,40349.481342047045,-1436765.1076852148,3,255
124,40354.18378431935,-1436802.4095733669,4,255
125,40357.155072123685,-1436808.2243115013,5,255
126,40397.91775440556,-1436679.664553109,6,255
127,40361.15062615732,-1437172.9696981583,7,255
128,40199.4551397259,-1437189.6803879808,8,255
129,40007.35334204911,-1436922.3837214215,9,255
130,39923.44048991413,-1436807.6387508798,10,255
131,39826.56859807632,-1437045.9717266264,11,255
132,39781.1712018223,-1437093.4209015258,12,255
133,40305.570012868375,-1436627.7284944358,13,255
134,40143.99370232271,-1436664.5306246693,14,255
135,40124.14783910885,-1436698.9595888273,15,255
136,40133.82186638872,-1436726.1905991891,16,255
137,40165.830956524456,-1436671.3456365468,17,255
138,40099.76242263304,-1436721.0588433722,18,255
139,40105.22141750287,-1436707.327284688,19,255
140,40174.69772906674,-1436758.8955909887,20,255
141,40402.92771238206,-1436972.0510326494,21,255
142,40465.70908219556,-1437103.3644060327,22,255
143,40502.62314906931,-1437129.7970327877,23,255
144,40523.548899178524,-1437428.449638866,0,256
145,40558.45535390963,-1437460.4839000786,1,256
146,40596.88342032815,-1437347.7658576262,2,256
147,40607.793655141206,-1437444.923176527,3,256
148,40822.545878845616,-1437307.7710225896,4,256
149,41056.70121130459,-1437470.6135790504,5,256
150,40942.19211864513,-1437776.5914829813,6,256
151,41307.498868173185,-1438430.3262561387,7,256
152,41321.082225823826,-1438471.814527699,8,256
153,41331.73826125568,-1438478.2538555404,9,256
154,41318.66102365639,-1438464.8725085782,10,256
155,41317.6558417548,-1438508.5608252112,11,256
156,40951.972005962394,-1438553.8243402943,12,256
157,41916.2629763501,-1439182.8089592822,13,256
158,42005.4470859941,-1439171.2794084125,14,256
159,41928.86620224914,-1439117.3586880402,15,256
160,41959.60778877827,-1439096.0590211004,16,256
161,41921.06894354967,-1439110.0125882423,17,256
162,41917.32812691777,-1439178.653369978,18,256
163,42082.16984980596,-1439725.7381612742,19,256
164,42027.61310711244,-1439743.8409586507,20,256
165,42068.54054118109,-1440170.1777391124,21,256
166,42100.288154142705,-1440244.1716265935,22,256
167,41887.819455476776,-1440398.1712431095,23,256
168,41904.79201375357,-1440391.4806312108,0,257
169,41889.96881144945,-1440556.3069798464,1,257
170,41862.93384846294,-1440561.9607383495,2,257
171,41856.348070468506,-1440651.7489035337,3,257
172,41907.26979461375,-1440633.2034728627,4,257
173,41857.67260032528,-1440703.9495601447,5,257
174,41800.288613841774,-1440997.7729449933,6,257
175,41764.00344892022,-1441062.2279663763,7,257
176,41795.53231326277,-1441210.0329212826,8,257
177,41673.81249540997,-1441305.6075371038,9,257
178,41850.03252001111,-1441267.4521498317,10,257
179,41961.59084905807,-1441251.5360170966,11,257
180,42009.98757617012,-1441509.2812802063,12,257
181,41949.6472458704,-1441638.4774290558,13,257
182,42012.33978068311,-1441678.7096877876,14,257
183,42051.76174053236,-1441820.9504460718,15,257
184,41998.50535441167,-1442161.5974175856,16,257
185,41935.713779051664,-1442212.6319599259,17,257
186,41929.29912501266,-1442240.1357055588,18,257
187,42177.67536225944,-1442205.5369489226,19,257
188,42117.040694557625,-1442192.23055407,20,257
189,42217.59048836619,-1442155.2403840972,21,257
190,42248.43859884551,-1442180.4811941704,22,257
191,42193.29371049073,-1441983.6614736195,23,257
192,42234.908482817445,-1442028.4727459613,0,258
193,42376.7392402661,-1441995.6894858764,1,258
194,42420.075907403596,-1442005.5997145057,2,258
195,42430.20004266887,-1441762.695547515,3,258
196,42387.788653372256,-1441781.1568612298,4,258
197,42399.32484917869,-1441761.69422251,5,258
198,42417.81804715606,-1441669.4034479342,6,258
199,42303.90975788379,-1441647.7723257574,7,258
200,42298.0359051882,-1441642.9708797901,8,258
201,42268.72791932549,-1441956.0985176112,9,258
202,42296.507644482976,-1441951.3206895269,10,258
203,42308.641834739916,-1441949.7564237665,11,258
204,42396.555958788005,-1442098.206054422,12,258
205,42628.806827388784,-1441937.4095275044,13,258
206,42636.867212751946,-1441927.468909467,14,258
207,42638.28968951305,-1441985.9943029932,15,258
208,42878.34713622562,-1441933.2383883006,16,258
209,42926.9423844727,-1441941.334863987,17,258
210,43145.858391475755,-1442044.5299270935,18,258
211,43076.832561880554,-1442053.8030603512,19,258
212,43074.90630117966,-1441996.2133236597,20,258
213,43009.26229746176,-1442126.0783960414,21,258
214,43152.45649825688,-1442277.3113464923,22,258
215,43288.1863538697,-1442380.0610156122,23,258
216,43265.313911466365,-1442387.618497139,0,259
217,43315.66916210381,-1442400.0462021865,1,259
218,43472.061083215114,-1442115.473438604,2,259
219,43389.35361468555,-1442240.9681242788,3,259
220,43666.32134778713,-1442209.4978194945,4,259
