,x,y,hour,yday
0,28000.0,-1432000.0,0,250
1,28205.583627506516,-1431707.9804899758,1,250
2,28220.07885752064,-1431769.202114028,2,250
3,28202.014380909193,-1431802.6970048235,3,250
4,28068.058553651084,-1431829.2573910193,4,250
5,27964.36328170815,-1432105.386617857,5,250
6,27970.25147801433,-1432065.4168401412,6,250
7,27730.695108820793,-1431197.4571914077,7,250
8,27915.16928925273,-1431904.4156257769,8,250
9,27917.4866753849,-1431927.5162989364,9,250
10,27688.704996378085,-1432183.238701567,10,250
11,27841.43780204625,-1432101.1409962566,11,250
12,28391.975461702987,-1432130.9097828434,12,250
13,28382.70626742615,-1432222.2081653478,13,250
14,27994.157337515735,-1432451.009744668,14,250
15,28004.39545158677,-1432557.5389813753,15,250
16,28048.68721652391,-1432653.0707432306,16,250
17,28244.966232334744,-1433378.4712789555,17,250
18,28672.635828903167,-1433735.0674896978,18,250
19,29388.992306278833,-1434034.4688388952,19,250
20,29624.98041651674,-1433946.3326239514,20,250
21,29616.191779865807,-1433985.3116245975,21,250
22,29727.67896396491,-1433839.6013837315,22,250
23,29717.354915117663,-1433932.3490221503,23,250
24,29718.99430042171,-1433927.6803670512,0,251
25,29735.937091062966,-1433851.303935211,1,251
26,29754.209434191675,-1433911.646688301,2,251
27,29789.412049412338,-1433901.320385175,3,251
28,29799.532342341423,-1433942.90595562,4,251
29,29789.989546578952,-1433959.3586451465,5,251
30,29624.138190791804,-1433932.423505127,6,251
31,29626.50455770124,-1434112.8809475186,7,251
32,29978.79389537295,-1434135.119948017,8,251
33,29617.597170768622,-1434534.5634417504,9,251
34,29798.64296773154,-1434920.0367634133,10,251
35,29664.114118134297,-1435109.2023816053,11,251
36,29707.043344888083,-1435067.9631155618,12,251
37,29683.109163843277,-1435197.9966189002,13,251
38,29664.654958381456,-1435199.2769523868,14,251
39,29654.332681138047,-1435318.717861563,15,251
40,29630.998224092255,-1435248.5618589413,16,251
41,29886.810116957924,-1435377.07728677,17,251
42,30994.41793898077,-1436163.3536098741,18,251
43,31004.37760306497,-1436268.3217286896,19,251
44,30937.038528133253,-1436245.0315332871,20,251
45,30888.72598062697,-1436402.4683711652,21,251
46,30805.958198490265,-1436552.2379758132,22,251
47,30981.50213084076,-1436372.2468502363,23,251
48,30997.633598322638,-1436376.6242276689,0,252
49,30945.441956018687,-1436524.8121639017,1,252
50,30949.63477773452,-1436524.032507067,2,252
51,30984.99456080352,-1436549.4027656417,3,252
52,30963.773777683873,-1436556.0149853558,4,252
53,30859.62501776646,-1436525.3981111962,5,252
54,30943.403817485334,-1436218.2325764385,6,252
55,31198.638716856825,-1436554.8817363223,7,252
56,30080.69091941798,-1435880.628949612,8,252
57,29688.593208008682,-1436943.6865809278,9,252
58,29195.706222875935,-1437332.2375906706,10,252
59,29115.38136921377,-1437369.2388618307,11,252
60,29110.64207538373,-1437326.4649870046,12,252
61,29169.167354465182,-1437414.2208285772,13,252
