,x,y,hour,yday
0,28000.0,-1432000.0,0,1
1,28355.323522775012,-1431589.667191675,1,1
2,28361.65200083256,-1431614.454062264,2,1
3,28414.71072882876,-1431612.285142632,3,1
4,28455.76321084318,-1431568.489764329,4,1
5,28461.471654585817,-1431566.6185390186,5,1
6,28436.102264726473,-1431553.7992895113,6,1
7,28434.261968669594,-1431549.3403636217,7,1
8,28429.800256044062,-1431537.1827490244,8,1
9,28698.387987646678,-1431525.5117979809,9,1
10,28673.48478539092,-1431517.7888016156,10,1
11,28686.236563131326,-1431623.321668239,11,1
12,28729.064861680603,-1431624.161576225,12,1
13,28717.66810490087,-1431537.7136016367,13,1
14,28698.71226030259,-1431565.2090350348,14,1
15,28611.29828389908,-1431531.6614521686,15,1
16,28551.47793416403,-1431280.5247493559,16,1
17,28610.80694331103,-1431279.9521930132,17,1
18,28486.66671155603,-1431559.8985775742,18,1
19,28343.335874612556,-1431404.9189105204,19,1
20,28240.040485991005,-1431385.597702407,20,1
21,28138.577907150764,-1431360.4135909681,21,1
22,28122.690101678872,-1430930.3287122352,22,1
23,28145.46549827637,-1430957.0288846134,23,1
24,28125.59789660603,-1430993.8539771154,0,2
25,28117.424669760247,-1431032.676184045,1,2
26,27969.49972229227,-1431198.6065897036,2,2
27,27969.774547498306,-1431234.9494773445,3,2
28,27988.132292592534,-1431276.7218529393,4,2
29,28168.963272799014,-1430791.8474699005,5,2
30,28238.659897935027,-1430856.6299792163,6,2
31,28204.855692464313,-1430987.1909669538,7,2
32,28099.531412815264,-1430984.9538622762,8,2
33,28134.49654811095,-1430926.6112427742,9,2
34,28131.119002614036,-1431013.4104684156,10,2
35,28149.881907183197,-1431014.6610665412,11,2
36,28208.42312055911,-1430961.4155414514,12,2
37,28194.1865296823,-1430940.4761636078,13,2
38,28259.76293505797,-1430851.5517678773,14,2
39,28275.16504618363,-1430890.8137971726,15,2
40,28291.83257975395,-1430877.1705159945,16,2
41,28399.804980853143,-1430873.577864193,17,2
42,28296.525015596726,-1430818.1518426777,18,2
43,28317.02458204414,-1430531.7549242917,19,2
44,28313.548247391787,-1430732.5181187708,20,2
45,28394.96017457333,-1430824.0890911948,21,2
46,28393.39001348216,-1430823.9738509688,22,2
47,28358.353938967964,-1430799.275091057,23,2
48,28352.44980058375,-1430841.1013100385,0,3
49,28318.06364697319,-1430917.8591271054,1,3
50,28182.15561064881,-1431105.6136245958,2,3
51,28216.695464835004,-1431042.55569496,3,3
52,28240.585961775996,-1431030.497871374,4,3
53,28509.51765660755,-1431222.759465412,5,3
54,28665.7099129874,-1431144.027383601,6,3
55,28662.788326761056,-1431180.0412150333,7,3
56,28619.65144200407,-1431233.0512574334,8,3
57,28407.359214695658,-1431349.8157174252,9,3
58,28370.43641840086,-1431337.1874815293,10,3
59,28346.84083205627,-1431304.9187154674,11,3
60,28343.087076132902,-1431319.0413687008,12,3
61,28380.54866610479,-1431315.255948178,13,3
62,28366.469207287577,-1431394.018607866,14,3
63,28507.88204637469,-1431449.8609091295,15,3
64,28370.61461967154,-1431383.0473235103,16,3
65,28631.18798321001,-1432174.307439699,17,3
66,28573.5295874575,-1432802.0039846401,18,3
67,28547.604207484397,-1432742.3811131753,19,3
68,28572.166181976132,-1433085.1027824702,20,3
69,28230.727162066574,-1432664.2557355696,21,3
70,28378.47697369658,-1432477.0477254854,22,3
71,28381.46388778365,-1432486.3862747916,23,3
72,28350.760677960618,-1432494.9429523812,0,4
73,28368.119345243682,-1432484.8204383038,1,4
74,28384.27947024327,-1432486.044019744,2,4
75,28423.12745544818,-1432339.6224814756,3,4
76,28362.952910039112,-1432256.036627259,4,4
77,28286.958862762156,-1432305.490504103,5,4
78,27901.118446148386,-1432554.1192135261,6,4
79,27695.041445995852,-1432270.985374657,7,4
80,27916.650371790547,-1432420.2577123127,8,4
81,27941.981449484563,-1432421.3310810358,9,4
82,28093.766713900233,-1432801.7586110826,10,4
83,28101.783792251743,-1432787.8377547313,11,4
84,28096.732797971406,-1432793.9854435266,12,4
85,28107.99381480676,-1432814.439575851,13,4
86,28013.44072514565,-1432745.5247146927,14,4
87,28060.331755951964,-1432716.9097164238,15,4
88,27582.25255856879,-1432913.7877289746,16,4
89,27710.02975171788,-1433113.272738849,17,4
90,27900.80369620466,-1432574.7953315706,18,4
91,27856.175395369864,-1432611.2474927502,19,4
92,28301.88873829873,-1432375.1951116642,20,4
93,28377.555078356803,-1432343.3002097262,21,4
94,28365.589894537592,-1432326.5866498353,22,4
95,28681.928107817545,-1432918.57588301,23,4
96,28836.404871134113,-1433061.3107620263,0,5
97,28611.210289272356,-1433119.397949473,1,5
98,28532.708754320778,-1433239.4062638024,2,5
99,28588.452552534083,-1433446.9537720585,3,5
100,28687.374516001484,-1433367.2581565005,4,5
101,28635.32098406225,-1433503.83787566,5,5
102,28524.003680378264,-1433451.4892679278,6,5
103,29180.467923349403,-1433539.2671233001,7,5
104,28871.651530392548,-1433204.8622487038,8,5
105,29133.22702190626,-1433443.2785017688,9,5
106,29087.989295869116,-1433459.8532447873,10,5
107,29073.98323909923,-1433455.767866448,11,5
108,29076.808996029267,-1433450.5580196294,12,5
