,x,y,hour,yday
0,25000.0,-1430000.0,0,250
1,24681.339467337362,-1429920.1236596354,1,250
2,24874.150404663375,-1430016.2750107083,2,250
3,24517.128965478718,-1430275.9178604858,3,250
4,24694.78418848402,-1430312.0810697824,4,250
5,24669.40667548342,-1430394.4249976773,5,250
6,24550.29265094702,-1430077.802176099,6,250
7,24582.79219902591,-1430108.569471373,7,250
8,24598.032232170932,-1430118.675394611,8,250
9,24624.30370975417,-1430130.6875381276,9,250
10,24614.659703286496,-1430260.2068865267,10,250
11,23878.21744608575,-1430530.769477034,11,250
12,23908.698758104732,-1430594.2254578762,12,250
13,23950.286065666347,-1430696.3041214854,13,250
14,23974.942884781234,-1430670.948024842,14,250
15,23996.550072049293,-1430747.1920841741,15,250
16,24012.47738033477,-1430807.0520260725,16,250
17,24057.90214114141,-1430945.2727787232,17,250
18,24042.357937537592,-1430982.4330887522,18,250
19,24225.29757706968,-1431442.5606844216,19,250
20,23970.861413447634,-1431579.8194729188,20,250
21,23898.643876323207,-1431389.5422987472,21,250
22,23737.995772952432,-1431203.0657269603,22,250
23,23966.927475274526,-1430720.5388062247,23,250
24,24041.818173388434,-1430670.939283701,0,251
25,24040.141499003985,-1430679.6002229264,1,251
26,24117.804893682627,-1430701.8559439364,2,251
27,24021.998921016344,-1430785.5802172003,3,251
28,24039.019011153083,-1430730.450005151,4,251
29,24048.341318006384,-1430751.8407738702,5,251
30,24028.245781742768,-1430750.9895440727,6,251
31,23991.631172757225,-1430807.399724251,7,251
32,24201.113759580385,-1430734.9264678957,8,251
33,24208.498445359623,-1430801.556057206,9,251
34,24273.588291434797,-1430663.1438155982,10,251
35,24351.369544567387,-1430475.3048998127,11,251
36,24170.52938091087,-1430449.425927467,12,251
37,24073.11503580625,-1430413.664690462,13,251
38,24165.86986576479,-1430481.7341093887,14,251
39,23815.111897992567,-1430223.5847238204,15,251
40,23816.653980067982,-1430240.0304087244,16,251
41,23869.67431176173,-1430344.006121373,17,251
42,23886.238669244634,-1430241.5103092594,18,251
43,23843.619014571042,-1430251.9412471994,19,251
44,23864.751991033787,-1430311.0980384962,20,251
45,23760.48179666618,-1430344.3869611274,21,251
46,22688.921136763754,-1429699.0743976894,22,251
47,22707.120167185552,-1429754.8997786096,23,251
48,22753.640185444805,-1429812.2544730208,0,252
49,22741.22060952406,-1429861.0021352826,1,252
50,22760.513895954005,-1429896.7123878552,2,252
51,22744.083680580796,-1429979.2352542356,3,252
52,22451.93218478753,-1429983.7762415987,4,252
53,22539.784188832287,-1429877.3948831214,5,252
54,22549.36321306125,-1429814.383547102,6,252
55,22583.98481517285,-1429879.5340753654,7,252
56,22633.83897551861,-1429967.1449651287,8,252
57,22971.638269598243,-1430104.6446124883,9,252
58,22983.44486830361,-1430182.635653089,10,252
59,23095.840388499702,-1430118.3369882405,11,252
60,23282.33683648487,-1429983.370687822,12,252
61,23243.22561744695,-1430158.9576096851,13,252
62,23315.113225713758,-1429830.2321521675,14,252
63,23335.402601202197,-1429790.0066651383,15,252
64,23355.242009252583,-1429708.424559196,16,252
65,23520.85303864619,-1429855.3257333052,17,252
66,23474.327447530595,-1429951.9846503392,18,252
67,23248.862546643526,-1430207.482949816,19,252
68,23146.344458909727,-1430542.2568635962,20,252
69,23330.385837296766,-1430758.4855658466,21,252
70,22891.566288000853,-1431156.062482528,22,252
71,22898.648526854126,-1431139.6872487112,23,252
72,22905.941901854858,-1431145.9147716316,0,253
73,23526.62646353043,-1431306.693740416,1,253
74,23519.001687737007,-1431292.6304592823,2,253
75,23509.29968496326,-1431305.812948717,3,253
76,23420.44198380269,-1431290.011237347,4,253
77,23382.618487140142,-1431318.4372856217,5,253
78,23147.603958367472,-1431244.5988529744,6,253
79,23143.850965091573,-1431323.1502523434,7,253
80,23100.38124343521,-1431418.5541518785,8,253
81,22973.694274363683,-1431379.4137226588,9,253
82,22921.22540678609,-1431503.8784905656,10,253
83,22749.592384725293,-1431559.0381099228,11,253
84,22392.195314294833,-1431229.930472716,12,253
85,22815.79553435115,-1431222.149701331,13,253
86,22812.250345465847,-1431372.2279771906,14,253
87,23235.994798001728,-1431889.5309279496,15,253
88,23170.071897686565,-1432030.8273458043,16,253
89,23202.47319376114,-1432018.5198435097,17,253
90,23298.80099840686,-1431940.523548088,18,253
91,23263.170055952993,-1431867.1109619667,19,253
92,23251.984354990924,-1431863.6507650444,20,253
93,23189.222605249786,-1431865.2125396542,21,253
94,23122.65131838678,-1431794.9411119039,22,253
95,23201.94590403635,-1431844.938307977,23,253
96,23102.46158780292,-1431976.1671324586,0,254
97,23166.866883368817,-1432061.676140059,1,254
98,23185.287541194226,-1432048.2014074551,2,254
99,23070.061357751765,-1432072.376042006,3,254
100,22984.210798551325,-1432260.542357014,4,254
101,23080.573897252045,-1432238.7329058365,5,254
102,23070.399913740668,-1432243.1947819535,6,254
103,22993.161450587595,-1432228.7042897071,7,254
104,22860.375723820107,-1432316.1363491267,8,254
105,22791.033094219427,-1432700.674517065,9,254
106,22732.229351685874,-1432809.3514066462,10,254
107,22738.67611730682,-1432864.5782000409,11,254
108,22738.687614287915,-1432902.4466747022,12,254
109,22640.3402455892,-1432955.2853481416,13,254
110,22645.50029539042,-1433009.4324707799,14,254
111,22645.788122521535,-1433048.5519963023,15,254
112,22692.661416234318,-1433117.2241446963,16,254
113,22904.01570317207,-1433124.1609343488,17,254
114,23046.5609611231,-1432949.3217966221,18,254
115,23093.965418856373,-1433148.3835850756,19,254
116,23098.337333750496,-1433302.9831808396,20,254
117,23035.677255000297,-1433521.1575728667,21,254
118,23049.267856071467,-1433476.1838239676,22,254
119,23079.710572311233,-1433457.7094298997,23,254
120,23158.917617561532,-1433654.2712535392,0,255
121,23157.347900067925,-1433658.6030362253,1,255
122,23135.92814452734,-1433560.3103853345,2,255
123,23020.246091130884,-1433552.9712880556,3,255
124,23024.59427690632,-1433569.0405144782,4,255
125,22952.194415579255,-1433659.4971289216,5,255
126,22966.053989159882,-1433697.8098426713,6,255
127,23064.577090056187,-1433706.1366916806,7,255
128,23070.052947568092,-1433707.3152799776,8,255
129,23056.525669090242,-1433709.031637033,9,255
130,22987.576641417014,-1433985.4530736855,10,255
131,23549.861132820108,-1433936.9295778188,11,255
132,24102.445253858314,-1434057.0143993383,12,255
133,24142.986655356162,-1433982.9858456464,13,255
134,24462.382840679173,-1433843.8173275767,14,255
135,23870.436956487105,-1432782.0215345167,15,255
136,23884.57001344447,-1432781.3021231955,16,255
137,23884.899947784525,-1432805.2432736582,17,255
138,23708.03157887495,-1432900.0879539528,18,255
139,23811.161134471793,-1432951.760369672,19,255
140,23906.130968199843,-1433010.2205609055,20,255
141,23886.794958441867,-1433010.6785165654,21,255
142,23993.541646737853,-1433168.3186085639,22,255
143,23892.369288516555,-1433015.9170056672,23,255
144,23885.920326325126,-1433000.9329966544,0,256
145,24105.03804339427,-1433225.4144509062,1,256
146,24379.091665064505,-1433343.167435343,2,256
147,24436.418616670882,-1433447.1152780761,3,256
148,24415.00546681083,-1433578.8278673415,4,256
149,24384.55923448391,-1433667.9008558788,5,256
150,24381.13059045426,-1433670.3155530735,6,256
151,24247.339465547186,-1433525.2332000737,7,256
152,24243.089107177897,-1433534.886077568,8,256
153,24380.954187546762,-1433652.2200738322,9,256
154,24528.052184219385,-1433891.499184587,10,256
155,24478.890504168594,-1433896.8142121502,11,256
156,24463.271333867935,-1433896.1632776915,12,256
157,24101.460227777086,-1434339.5441474007,13,256
158,24146.680581674238,-1434350.6378491016,14,256
159,24289.016882282554,-1434919.2216429813,15,256
160,24139.07810813547,-1435104.5456310136,16,256
161,24431.437197479132,-1434051.9641192863,17,256
162,24616.233343116553,-1434143.4724771306,18,256
163,24826.05847138191,-1434099.8203684622,19,256
164,24718.24900093514,-1433389.8005036833,20,256
165,25369.645295445654,-1433234.1804245645,21,256
166,25592.50554118266,-1432320.4676165392,22,256
167,25836.046173997427,-1432475.9546243544,23,256
168,25984.662098447625,-1432667.7155588514,0,257
169,26240.072545035007,-1432743.8889941345,1,257
170,26248.27494329011,-1432786.606409212,2,257
171,26343.340858176103,-1432750.0944908608,3,257
172,26335.397384377502,-1432788.712384476,4,257
173,26364.146542125654,-1432792.3633351861,5,257
174,25900.486485125923,-1432854.4044348744,6,257
175,25736.620739209895,-1433020.9323464546,7,257
176,25601.00138536194,-1433171.6659110626,8,257
177,25569.443535608447,-1433425.8519476037,9,257
178,25789.351162970874,-1433641.6756217915,10,257
179,25903.55221047934,-1433622.7931848166,11,257
180,25980.77597452711,-1433458.8041730616,12,257
181,26367.561013230265,-1433588.6889217524,13,257
182,26386.560743518632,-1433626.4535940501,14,257
183,26396.127601399483,-1433757.8158587196,15,257
184,26400.91779693795,-1433797.952917835,16,257
185,26447.241453152372,-1433878.7886043799,17,257
186,26351.28423933421,-1433947.3136889867,18,257
187,26095.91757892661,-1433630.5793609354,19,257
188,26049.815878300647,-1433865.6507211253,20,257
189,25973.9218595572,-1434240.594545638,21,257
190,25859.982987912234,-1434372.8874001356,22,257
191,25927.975989062896,-1434416.6443543613,23,257
192,25859.929479721,-1434409.5803731056,0,258
193,26381.126630996812,-1434464.8402402021,1,258
194,26718.220833161417,-1435168.8354870167,2,258
195,27020.140355994536,-1435139.2047491865,3,258
196,27116.29595958224,-1435303.3389176615,4,258
197,27187.18145019555,-1435282.8123210808,5,258
198,27237.307872341677,-1435456.5604124682,6,258
199,27293.683802490566,-1436031.0573673393,7,258
200,27483.503469529507,-1436619.4054739315,8,258
201,27485.631634252477,-1436618.869208656,9,258
202,27360.465881818025,-1436622.4582348317,10,258
203,27311.688371482047,-1436630.7037822236,11,258
204,27542.375185171473,-1436590.2810889566,12,258
205,27484.229354712825,-1436316.3522287204,13,258
206,27455.97831490408,-1436338.0795573676,14,258
207,27474.112655787383,-1436347.825145193,15,258
208,27715.353773576582,-1436387.7800414227,16,258
209,27788.440516907915,-1436444.8709898023,17,258
210,28391.80917202865,-1436187.6114617167,18,258
211,28368.842411773716,-1435810.6510895453,19,258
212,28338.825252974297,-1435821.8396939998,20,258
213,28408.947414788832,-1435858.4338459575,21,258
214,28467.932108354864,-1435866.1848621476,22,258
215,28481.178510499067,-1435881.9530688745,23,258
