sim,step,x,y,t,hour,sl,angle,bearing,hab_p
1,1,11085.3142128326,9447.879865765572,2018-06-30T15:00:00Z,1,0,2.9252329740035483,0,0
1,2,11015.198338522194,9458.899500253374,2018-06-30T16:00:00Z,2,70.97653256223144,2.98570460923274,2.985704609232744,-0.6945485273996989
1,3,11012.70370063284,9767.869238465855,2018-06-30T17:00:00Z,3,308.97980896700705,-1.4068344053741701,1.5788702038585742,-0.4811626076698303
1,4,11149.443927650183,9697.720339699794,2018-06-30T18:00:00Z,4,153.68395388864056,-2.0528703726453346,-0.4740001687867582,-0.5782752633094788
1,5,11072.465132238332,9766.790543326764,2018-06-30T19:00:00Z,5,103.4235368382398,2.8842920880341714,2.41029191924742,-0.6642030576864878
1,6,11172.109741666507,9818.012923085656,2018-06-30T20:00:00Z,6,112.03919125135444,-1.9354670494113904,0.4748248698360342,-0.49156463146209717
1,7,11099.712720280886,9865.785360007983,2018-06-30T21:00:00Z,7,86.73831007696604,2.083487122424427,2.558311992260462,-0.31672340134779614
1,8,11345.683490763899,9832.610097450313,2018-06-30T22:00:00Z,8,248.19794112316362,-2.6923777754041534,-0.13406578314369266,-0.5179192622502645
1,9,11371.858247306294,9836.393238693521,2018-06-30T23:00:00Z,9,26.446739642529344,0.27760573244446807,0.14353994930075956,-0.5180645734071732
1,10,11356.48868068397,9882.949633396916,2018-07-01T00:00:00Z,10,49.02776219588644,1.746119308055082,1.889659257355844,-0.47008784612019855
1,11,11316.809808234815,9786.8351176964,2018-07-01T01:00:00Z,11,103.98275360453384,2.4312129015017216,-1.9623131483220162,-0.6467079619566599
1,12,11319.087363869136,9650.293955026604,2018-07-01T02:00:00Z,12,136.5601565717012,0.40819563393518354,-1.554117514386833,-0.6378072996934255
1,13,11087.989136482232,9824.28995214921,2018-07-01T03:00:00Z,13,289.2766802147362,-2.232835580644325,2.496232212148426,-0.49344336489836377
1,14,11148.27159206445,9835.451515940065,2018-07-01T04:00:00Z,14,61.3070547105242,-2.313151129080725,0.1830810830677112,-0.3278664896885554
1,15,10843.534623257783,9780.828321162942,2018-07-01T05:00:00Z,15,309.5937879950675,3.1358750679551157,-2.9642291561567595,-0.5134945859511694
1,16,10654.201349283701,9735.493288818963,2018-07-01T06:00:00Z,16,194.68526855254007,0.05765727635413409,-2.9065718798026254,-0.4774781862894694
1,17,10773.070364552977,9777.50107105741,2018-07-01T07:00:00Z,17,126.07337768014332,-3.0369168185868207,0.33969660879013963,-0.6154184639453888
1,18,10729.285092252345,9752.18702640666,2018-07-01T08:00:00Z,18,50.57618932878063,-2.9570979235237416,-2.6174013147336055,-0.494857594370842
1,19,10607.015345047179,9696.536829960873,2018-07-01T09:00:00Z,19,134.33851065896897,-0.09706888774308542,-2.714470202476684,-0.5013135075569153
1,20,10500.333031135613,9767.72182627739,2018-07-01T10:00:00Z,20,128.2513929831102,-1.0155367201978076,2.553178384505094,-0.7094293038050333
1,21,10448.636165938115,10072.28219599275,2018-07-01T11:00:00Z,21,308.916792473969,-0.8142420934571977,1.7389362910478945,-0.6484149197737376
1,22,10478.587756139272,10074.024980378821,2018-07-01T12:00:00Z,22,30.002250798804535,-1.6808151189820533,0.05812117206584061,-0.5796158164739609
1,23,10147.773595675364,10152.860402233518,2018-07-01T13:00:00Z,23,340.0779800317107,2.8495276465842156,2.9076488186500558,-0.8008240560690562
1,24,10007.559237836533,10264.12118840732,2018-07-01T14:00:00Z,24,178.9944934464973,-0.4368241405302524,2.4708246781198024,-0.90481368700663245
1,25,9918.102592169069,10314.647415233596,2018-07-01T15:00:00Z,1,102.7394327966356,0.15662361565940763,2.627448293779206,-0.6632768114407858
1,26,9995.619059854886,10318.630032852492,2018-07-01T16:00:00Z,2,77.61870912083326,-2.5761157316176506,0.05133256216154925,-0.528211290637652
1,27,9984.590241192127,10486.620565279945,2018-07-01T17:00:00Z,3,168.35217202743578,1.5850211160687522,1.6363536782302972,-0.5853338092565536
1,28,10082.20709597293,10498.116371900589,2018-07-01T18:00:00Z,4,98.29142336519259,-1.5191290314217996,0.1172246468085062,-0.5833923816680908
1,29,10124.70852235256,10413.353103899475,2018-07-01T19:00:00Z,5,94.82184793881481,-1.22324339734034,-1.1060187505318297,-0.5556975056727728
1,30,9968.057467547926,10346.748349284442,2018-07-01T20:00:00Z,6,170.22263747437617,-1.63355156544248,-2.739570315974305,-0.4723321497440338
1,31,10046.548028471096,10788.020169422629,2018-07-01T21:00:00Z,7,448.19815640194514,-2.1488510731639114,1.3947639180413687,-0.6323992808659872
1,32,9835.619336867123,11049.97225530762,2018-07-01T22:00:00Z,8,336.318016527902,0.8539473329855114,2.2487112510268785,-0.7392617960770925
1,33,10000.963294925728,10998.470432152786,2018-07-01T23:00:00Z,9,173.17927778680007,-2.550669282505191,-0.3019580314783073,-0.5077643493811289
1,34,10161.865918931724,11226.678751267265,2018-07-02T00:00:00Z,10,279.22874373006607,1.258634438787844,0.956676407309533,-0.5400876899560293
1,35,10199.39311996351,10989.80253420891,2018-07-02T01:00:00Z,11,239.83042556180666,-2.3703531789757073,-1.4136767716661711,-0.7469101051489512
1,36,10203.573482017062,10971.179167996897,2018-07-02T02:00:00Z,12,19.086780660065997,0.06368909240348364,-1.3499876792627392,-0.8230334122975668
1,37,10223.054171709737,10843.010708018082,2018-07-02T03:00:00Z,13,129.64046977793353,-0.0699702730798708,-1.4199579523426087,-0.7485608259836832
1,38,10075.896296221865,10890.206927622621,2018-07-02T04:00:00Z,14,154.54100900105394,-2.031989063266412,2.8312382915705703,-0.6201065182685852
1,39,10106.809622171008,10911.888574000435,2018-07-02T05:00:00Z,15,37.75880706392225,-2.2195941722179433,0.6116441193526456,-0.5847679773966471
1,40,10148.925067206847,10914.707195675632,2018-07-02T06:00:00Z,16,42.20965930583494,-0.5448176937980791,0.06682642555457406,-0.6392764548460642
1,41,10046.883766467272,10725.262275214009,2018-07-02T07:00:00Z,17,215.17854201879624,-2.1316970947232834,-2.0648706691687084,-0.6437778969605764
1,42,9942.576291443507,10683.240719055855,2018-07-02T08:00:00Z,18,112.45381508773231,-0.6937504887153612,-2.758621157884065,-0.6713370084762573
1,43,10019.050856077303,10598.315428534348,2018-07-02T09:00:00Z,19,114.2832621431988,1.9209118191276255,-0.8377093387564342,-0.5704164604345957
1,44,10124.325117904933,10662.905180200856,2018-07-02T10:00:00Z,20,123.50913417109514,1.3880237687613652,0.5503144300049395,-0.7163280546665192
1,45,9992.483201331745,10709.144075329146,2018-07-02T11:00:00Z,21,139.71516162670562,2.253966863224207,2.8042812932291405,-0.6271989246209463
1,46,10197.376311562286,11338.331864721802,2018-07-02T12:00:00Z,22,661.7087432857169,-1.5483019351846241,1.2559793580445169,-0.7017617026964823
1,47,10300.116072854107,11095.18202141449,2018-07-02T13:00:00Z,23,263.96459014547884,-2.426993222558013,-1.171013864513493,-0.6249434153238932
1,48,10237.901142820188,11291.692696141348,2018-07-02T14:00:00Z,24,206.1240956335057,3.0484243018968336,1.8774104373833385,-0.6500670810540518
1,49,10207.010552616166,11323.740004959924,2018-07-02T15:00:00Z,1,44.51133075595398,0.46040739230735017,2.3378178296906835,-0.6293848901987076
1,50,9818.116584240895,11195.548872762458,2018-07-02T16:00:00Z,2,409.47708728662053,1.122188714681469,-2.823178762807434,-0.6442869603633881
1,51,9540.070760990142,11335.245497097989,2018-07-02T17:00:00Z,3,311.16655777562596,-0.7839980425396518,2.6760085018325013,-0.33954354623953503
1,52,9513.561827152176,11020.199516212004,2018-07-02T18:00:00Z,4,316.15928524343315,1.9524351553325392,-1.6547416500145455,-0.7659284075101217
1,53,9943.225293346051,11001.307245515445,2018-07-02T19:00:00Z,5,430.07861150469574,1.610800027943906,-0.043941622070639993,-0.5225109606981277
1,54,9931.465907874708,11059.41076331522,2018-07-02T20:00:00Z,6,59.28154795020425,1.81442745896375,1.7704858368931145,-0.8465293049812317
1,55,9667.36133232111,11092.46789403793,2018-07-02T21:00:00Z,7,266.16536348661964,1.2465875688044967,3.017073405697609,-0.4550929218530655
1,56,9595.524565979313,11028.079505335898,2018-07-02T22:00:00Z,8,96.46960971254087,0.8552948385316692,-2.4108170629503123,-0.41844406227270764
1,57,9663.582427068894,11189.550792147198,2018-07-02T23:00:00Z,9,175.22799125877614,-2.7004622791047543,1.17190596512452,-0.5913199683030447
1,58,9750.704513703886,11168.81413947576,2018-07-03T00:00:00Z,10,89.55594197846874,-1.4055763528798055,-0.23367038775529433,-0.6590441962083181
1,59,10144.269121225878,11543.082578403202,2018-07-03T01:00:00Z,11,543.1113740947835,0.9939431569677959,0.7602727692125014,-0.6577770610650381
1,60,9943.010609689687,11583.985419805142,2018-07-03T02:00:00Z,12,205.37290692911662,2.1808153679879494,2.9410881372004525,-0.589576413234075
1,61,9996.866281560042,11271.734175467172,2018-07-03T03:00:00Z,13,316.8615990984357,1.942095924753513,-1.4000012452256205,-0.43724802633126575
1,62,9866.123927324152,11355.75297417344,2018-07-03T04:00:00Z,14,155.41145944616594,-2.3127672813204967,2.5704167806334683,-0.254066323240598
1,63,9941.181266315645,11228.621251572096,2018-07-03T05:00:00Z,15,147.63495191880872,2.675295797402633,-1.0374727291434862,-0.5849313338597616
1,64,10018.367107623046,11443.952397237876,2018-07-03T06:00:00Z,16,228.74692651939233,2.264084706021543,1.2266119768780566,-0.5724609444538752
1,65,10164.707948372961,11338.977292653288,2018-07-03T07:00:00Z,17,180.0983460610819,-1.8488763094852196,-0.6222643326071617,-0.8063942790031433
1,66,10206.595446386174,11087.254070515695,2018-07-03T08:00:00Z,18,255.18452745638461,-0.7836398733804688,-1.4059042059876317,-0.7612001299858093
1,67,10385.032612820865,11061.822388850214,2018-07-03T09:00:00Z,19,180.2403750483668,1.2643330810963125,-0.14157112489132345,-0.6580231289068857
1,68,10555.124036793926,11033.012356353165,2018-07-03T10:00:00Z,20,172.51408777738868,-0.026216082999371615,-0.16778720789069204,-0.43429504831631977
1,69,10691.772198288927,10831.974591980923,2018-07-03T11:00:00Z,21,243.08209054505278,-0.8060281288211719,-0.9738153367118654,-0.37490087002515793
1,70,10721.76714626345,10836.603565712268,2018-07-03T12:00:00Z,22,30.350029683673196,1.1269325162112729,0.15311717949942014,-0.3773934319615364
1,71,10775.6053195573,10856.350431212119,2018-07-03T13:00:00Z,23,57.34533634645289,0.19842915497078062,0.35154633447020134,-0.3570554380615552
1,72,10715.52873987213,10738.155814291116,2018-07-03T14:00:00Z,24,132.5864355647718,-2.392596475326854,-2.0410501408566497,-0.36642902344465256
1,73,10771.082952643863,10706.581849888962,2018-07-03T15:00:00Z,1,63.89981052206197,1.524231579963427,-0.5168185608932206,-0.45423132677872974
1,74,10861.223497188928,10748.894977967793,2018-07-03T16:00:00Z,2,99.57770121215184,0.9556984070747383,0.4388798461815277,-0.3783356000979741
1,75,10898.752109212706,10913.72463779742,2018-07-03T17:00:00Z,3,169.0479620698877,0.9080515192591818,1.3469313654407096,-0.6332499980926514
1,76,10946.114626569983,10970.009089584495,2018-07-03T18:00:00Z,4,73.5605027401915,-0.4756648408241797,0.8712665246165219,-0.2941846971710523
