sim,step,x,y,hour,sl,angle,bearing,hab_p,t
1,1,13724.967439193279,12501.759345177561,1,0,1.9480707879391188,0,0,2019-01-01T01:00:00Z
1,2,13693.433996256963,12616.844832909735,2,119.32739630935727,1.8382327641502627,1.8382327641502583,1.2630571921666465,2019-01-01T02:00:00Z
1,3,13634.456930124179,12439.771414091207,3,186.63678624995993,2.5526466328011965,-1.8923059102281317,1.356276385486126,2019-01-01T03:00:00Z
1,4,14008.995233139447,12412.774765261633,4,375.50999916591354,1.8203505450897755,-0.07195536513835683,1.9800717880328498,2019-01-01T04:00:00Z
1,5,14126.529402342032,12632.334957405263,5,249.04007489617027,1.151251735741524,1.0792963706031673,2.292126715183258,2019-01-01T05:00:00Z
1,6,14375.91898447555,12724.136472105843,6,265.74928368304495,-0.7265844239691281,0.35271194663403904,2.460669701298078,2019-01-01T06:00:00Z
1,7,14491.212506310418,12738.150231777165,7,116.14207522346358,-0.2317567402270515,0.12095520640698125,2.433981696764628,2019-01-01T07:00:00Z
1,8,14466.452386636991,12817.325360946747,8,82.95640183411005,1.7529318483733025,1.8738870547802824,2.47880627711614,2019-01-01T08:00:00Z
1,9,14357.997502280383,12804.545764753026,9,109.20521974557755,1.3849980313901158,-3.024300221009189,2.138718143105507,2019-01-01T09:00:00Z
1,10,14294.698277808166,12835.600911058546,10,70.50683605751517,-0.5733987652744279,2.685486320895981,1.9867141296466193,2019-01-01T10:00:00Z
1,11,14266.339762376136,13055.427021895384,11,221.64774847301865,-0.9863942582972944,1.699092062598684,2.0633599907159805,2019-01-01T11:00:00Z
1,12,14288.342422922326,13031.439398144461,12,32.5503174228255,-2.52762394570584,-0.8285318831071634,2.022054518262545,2019-01-01T12:00:00Z
1,13,14496.595896724053,13035.890018757333,13,208.30102585999595,0.849899801463863,0.021367918356698247,2.1582032491763434,2019-01-01T13:00:00Z
1,14,14439.011079775295,13325.086813771964,14,294.8742060434539,1.7459775088685765,1.767345427225274,2.3340462893247604,2019-01-01T14:00:00Z
1,15,14536.135295651311,13099.993815557806,15,245.1529546111377,-2.9307912376189664,-1.1634458103936904,1.9504546374082565,2019-01-01T15:00:00Z
1,16,14355.630752082132,13119.317604888616,16,181.53594432844287,-2.0847949726502097,3.034944524135688,2.482673848668734,2019-01-01T16:00:00Z
1,17,14530.573292212834,12934.037639580512,17,254.82063866954348,2.4341531605695987,-0.8140876224742971,2.049441337585449,2019-01-01T17:00:00Z
1,18,14550.67278811434,12796.064471610547,18,139.4294976508309,-0.6120494383615309,-1.42613706083583,1.9317320237557092,2019-01-01T18:00:00Z
1,19,14380.760651936309,13102.300755421405,19,350.2153559495455,-2.779700382524102,2.077347863819656,2.6013777405023575,2019-01-01T19:00:00Z
1,20,14327.625730614202,13014.670389536408,20,102.48122212895838,2.0899634987972124,-2.1158739445627233,2.2328790773948035,2019-01-01T20:00:00Z
1,21,14312.102104696316,13163.075521477851,21,149.2148321990663,-2.492291039159888,1.6750203234569767,2.2052897016207376,2019-01-01T21:00:00Z
1,22,14379.15313536664,13246.509978579228,22,107.03807428085625,-0.7811787916665365,0.8938415317904411,2.1085767447948456,2019-01-01T22:00:00Z
1,23,14580.466929294504,13611.150719842983,23,416.5214446040102,0.1725098921980197,1.0663514239884617,2.0928326497475305,2019-01-01T23:00:00Z
1,24,14658.746190956705,13569.140421405402,24,88.83978827751575,-1.5589045583121497,-0.4925531343236805,2.2868566711743674,2019-01-02T00:00:00Z
1,25,14706.659317723355,13540.175478920677,1,55.98781661844514,-0.051190897563501814,-0.5437440318871866,2.170394236842791,2019-01-02T01:00:00Z
1,26,14702.286668718953,13914.500459341516,2,374.35051893429716,2.126221251912451,1.5824772200252655,2.08648090561231,2019-01-02T02:00:00Z
1,27,14742.431281902711,13819.058002225582,3,103.54155005600647,-2.7551221401816535,-1.1726449201563984,2.3644875983397164,2019-01-02T03:00:00Z
1,28,14825.332434076403,13557.293686386267,4,274.5781456681321,-0.09144342644861414,-1.2640883466050115,1.6455048571030297,2019-01-02T04:00:00Z
1,29,14768.977278116037,13670.207656718356,5,126.19615009766667,-2.9853747490013087,2.0337222115732643,2.5889285157124204,2019-01-02T05:00:00Z
1,30,14808.274688215473,13580.987121598493,6,97.49148848795991,3.0935527074817815,-1.1559103881245352,1.4836225907007852,2019-01-02T06:00:00Z
1,31,14746.934735338315,13411.36525385031,7,180.37230340979127,-0.7618816557947992,-1.9177920439193348,1.6608762244383493,2019-01-02T07:00:00Z
1,32,14479.87799518368,13629.086584072485,8,344.56041574117756,-1.907778881688067,2.457614381572184,1.3427534326910973,2019-01-02T08:00:00Z
1,33,14691.472128062855,13646.237496346523,9,212.2880845943119,-2.376735489715996,0.08087889185618741,2.287872781356176,2019-01-02T09:00:00Z
1,34,14555.081198132524,13518.106416511908,10,187.1364726258485,-2.4682888076448886,-2.3874099157887034,2.2371403872966766,2019-01-02T10:00:00Z
1,35,14365.470705649073,13899.958120034258,11,426.3365599414823,-1.8640909998324287,2.0316843915584553,1.157819467286269,2019-01-02T11:00:00Z
1,36,14396.277506540893,13782.114820611116,12,121.80353935793818,2.936403905694835,-1.3150970099262904,1.262511946260929,2019-01-02T12:00:00Z
1,37,14306.499908190863,13841.575379458032,13,107.68275267602935,-2.411475697927969,2.556612599325327,1.2796167780955634,2019-01-02T13:00:00Z
1,38,13926.295588715922,13498.7193056742,14,511.96251022693696,1.3187710716285563,-2.4078016362257038,1.3336082672079406,2019-01-02T14:00:00Z
1,39,14273.19245185475,13064.756548317502,15,555.5727750962837,1.5113620628678115,-0.8964395733578939,2.0633599907159805,2019-01-02T15:00:00Z
1,40,14330.747407272473,12969.074308310395,16,111.65869400057377,-0.13281901706232668,-1.029258590420229,2.0731215675671897,2019-01-02T16:00:00Z
1,41,14121.105384345721,13701.151927453233,17,761.5033934439593,2.878956853594528,1.8496982631743002,1.2743298957745233,2019-01-02T17:00:00Z
1,42,14034.379689858437,13690.70249613144,18,87.35294327754802,1.4118046549192993,-3.021682389085998,1.3609898214538894,2019-01-02T18:00:00Z
1,43,14103.203626761491,13670.065663290889,19,71.85132678332651,2.730363543446721,-0.2913188456392847,1.2115305662155151,2019-01-02T19:00:00Z
1,44,14078.109605692856,13759.907929487961,20,93.28098782077096,2.134485758905197,1.8431669132659143,1.3443568845589957,2019-01-02T20:00:00Z
1,45,13984.127392684439,13648.510444952622,21,145.74654686393302,2.1684170290102225,-2.271601364903453,1.548422078291575,2019-01-02T21:00:00Z
1,46,14034.215003916679,13632.574065354122,22,52.56174458348616,1.963559237072337,-0.3080421278311044,1.4458494509259858,2019-01-02T22:00:00Z
1,47,13801.043666398835,13612.812450713425,23,234.0072521377655,-2.7490010992957314,-3.0570432271268366,1.156325601041317,2019-01-02T23:00:00Z
1,48,13397.7173182306,13870.39265047347,24,478.5600301269933,-0.6528969638249245,2.5732451162278243,1.501427541176478,2019-01-03T00:00:00Z
1,49,13079.102135506573,13651.788541289636,1,386.39796999249756,1.1696883627181833,-2.540251828233579,1.3420491541425386,2019-01-03T01:00:00Z
1,50,12545.417767397417,13366.00175176696,2,605.3867308008554,-0.10969989798964797,-2.6499517262232284,0.8712365850806236,2019-01-03T02:00:00Z
1,51,12498.445453127522,13489.450847250959,3,132.08360035858843,-1.6988538775916124,1.9343797033647472,1.2553507834672928,2019-01-03T03:00:00Z
1,52,12340.497062553759,13629.98047538124,4,211.41492489244376,0.4801072812296545,2.4144869845944044,1.309704308708509,2019-01-03T04:00:00Z
1,53,12297.660167534355,13657.87863780959,5,51.12051488181603,0.1498418141758684,2.564328798770292,1.29810040195783,2019-01-03T05:00:00Z
1,54,12306.855125681044,13709.754488563256,6,52.68444881305958,-1.1689597622204766,1.3953690365498117,1.5547960748275123,2019-01-03T06:00:00Z
1,55,12467.255096995746,13861.734811308013,7,220.9664438310888,-0.6369175491438774,0.7584514874059362,1.1454777419567108,2019-01-03T07:00:00Z
1,56,12406.826753086089,13650.524701343815,8,219.68453586621143,-2.6079089923002874,-1.849457504894352,1.104853091140588,2019-01-03T08:00:00Z
1,57,12375.896854087996,13508.66363348079,9,145.19373687342673,0.06399117035767121,-1.78546633453668,1.2612589076161385,2019-01-03T09:00:00Z
1,58,12225.185850563388,13761.028232996858,10,293.94165691902094,-2.3885678286146907,2.109151144028216,1.300814114511013,2019-01-03T10:00:00Z
1,59,12423.93987295933,13642.640134626277,11,231.34152946319108,-2.6463669595775627,-0.5372158155493489,1.057993198434512,2019-01-03T11:00:00Z
1,60,12211.683774584722,13645.02257766431,12,212.26946867611693,-2.6156007463841475,3.130368745246086,1.441215698917707,2019-01-03T12:00:00Z
1,61,12351.418253408032,13480.346092741067,13,215.972380777489,2.2856657100998437,-0.867150851833655,1.204344319800536,2019-01-03T13:00:00Z
1,62,12363.605159170733,13462.397659474009,14,21.694859501987615,-0.10715600926075686,-0.9743068610943779,1.0755685716867447,2019-01-03T14:00:00Z
1,63,12209.01615493046,13369.252803923071,15,180.48192249531346,-1.6250064473554409,-2.599313308449814,1.0444135839740436,2019-01-03T15:00:00Z
1,64,12009.95050320591,13541.658726857126,16,263.34565870593417,-1.25603246197078,2.427839536758993,0.7293644423286121,2019-01-03T16:00:00Z
1,65,11935.788946642084,13497.759586682141,17,86.18045590545748,1.2482245521914255,-2.6071212182291785,0.7198322440187137,2019-01-03T17:00:00Z
1,66,12081.035613718333,13568.661201965342,18,161.62807103509488,3.061240934503883,0.454119716274702,0.8502142876386642,2019-01-03T18:00:00Z
1,67,11914.166199680385,13751.917927572042,19,247.84759192184532,1.8553048835468475,2.3094245998215497,2.0106260975201926,2019-01-03T19:00:00Z
1,68,11737.127069038546,13711.003034988744,20,181.7054820678806,1.0592870876733658,-2.914473619684674,1.1054539556304614,2019-01-03T20:00:00Z
1,69,11747.691970392645,13801.798603231473,21,91.40816349288455,-1.9137536570985878,1.4549580303963192,1.7723237971464791,2019-01-03T21:00:00Z
1,70,11261.768744841082,13998.723209478458,22,524.3097192270673,1.301603135486534,2.7565611658828515,1.022767648100853,2019-01-03T22:00:00Z
1,71,11613.136358677011,14239.558540769935,23,425.98222598018225,-2.1556857825427054,0.6008753833401457,1.392663853863875,2019-01-03T23:00:00Z
1,72,11696.860568784527,14287.776342208212,24,96.61624984270722,-0.07835576486069051,0.522519618479461,1.0289321715633075,2019-01-04T00:00:00Z
1,73,11462.608995983435,14273.023789839503,1,234.71565171751303,2.681967362157226,-3.0786983265429027,2.2291277100642524,2019-01-04T01:00:00Z
1,74,11360.414807529387,14087.052336038765,2,212.20045660304643,1.0054308747916396,-2.0732674517512613,1.8330699453751245,2019-01-04T02:00:00Z
1,75,11419.07791845901,14172.023316868599,3,103.25419200751809,3.039816674783185,0.9665492230319263,1.2742883836229644,2019-01-04T03:00:00Z
1,76,11904.276595045181,14387.297492353653,4,530.811384949251,-0.5489613127050101,0.41758791032691617,1.0581286003192265,2019-01-04T04:00:00Z
1,77,11810.755394866228,14310.151025127445,5,121.2344517387544,-2.8694347476120217,-2.4518468372850992,1.3197056824962297,2019-01-04T05:00:00Z
1,78,11816.934644778497,14401.150477475016,6,91.20900973607876,-2.328342316186073,1.5029961537084204,0.9726341192921002,2019-01-04T06:00:00Z
1,79,12181.502184776833,14207.396376977003,7,412.85607986346963,-1.991496083314119,-0.4884999296056967,1.2041423345605533,2019-01-04T07:00:00Z
1,80,12104.87925061429,13982.682901352839,8,237.41781771124428,-1.4109136237014157,-1.8994135533071144,0.8850167443354924,2019-01-04T08:00:00Z
1,81,12406.20253196801,14182.490038777569,9,361.550289796092,2.484942097984133,0.5855285446770171,1.1008886247873306,2019-01-04T09:00:00Z
1,82,12572.021358884183,14413.518740773427,10,284.37676505957086,0.3627339156321372,0.9482624603091541,1.0730037093162537,2019-01-04T10:00:00Z
1,83,12474.51113617767,14115.295055683708,11,313.7604338994407,-2.835071524611567,-1.8868090643024105,1.3440784811973572,2019-01-04T11:00:00Z
1,84,12438.260600567815,14349.084658780197,12,236.58334651453288,-2.67174870089754,1.7246275419796366,1.2063957005739212,2019-01-04T12:00:00Z
1,85,12767.037606604525,14248.084211078594,13,343.9409980423779,-2.0226771025401558,-0.2980495605605223,1.2706720332304635,2019-01-04T13:00:00Z
1,86,12715.92685390387,14423.055946769036,14,182.28389213573743,2.15304725471743,1.8549976941569075,1.1901837587356567,2019-01-04T14:00:00Z
1,87,12739.073363985688,14403.94999091713,15,30.0133050159878,-2.545056934808382,-0.6900592406514494,1.1975685507059097,2019-01-04T15:00:00Z
1,88,12697.58920651381,14324.084646551062,16,89.99671411702923,-1.359804653939107,-2.049863894590556,1.2266324584682782,2019-01-04T16:00:00Z
1,89,12648.514655110968,14460.532507617347,17,145.004587461757,-2.317272387284815,1.9160490253042128,1.1596704398592312,2019-01-04T17:00:00Z
1,90,12955.108985244302,14539.382651879292,18,316.5713640240333,-1.664323558625226,0.2517254666789851,1.2745068346460662,2019-01-04T18:00:00Z
1,91,13029.816271652713,14584.688299678068,19,87.37150774122641,0.2934174528260889,0.5451429195050735,1.2715909257531166,2019-01-04T19:00:00Z
1,92,13056.753058007607,14596.765808829421,20,29.520445227507018,-0.12364958698161566,0.42149333252347526,1.1975863575935364,2019-01-04T20:00:00Z
1,93,13268.785938310368,14578.214231090813,21,212.84290771852488,-0.508764964262896,-0.0872716317394245,1.350487619638443,2019-01-04T21:00:00Z
1,94,13253.636307113598,14535.804149641624,22,45.03472364659281,-1.8266149987608447,-1.9138866305002877,1.3658165683348975,2019-01-04T22:00:00Z
1,95,13229.952866264028,14616.10728468908,23,83.72275000813687,-2.511707553535648,1.8575911231436602,1.457651692132155,2019-01-04T23:00:00Z
1,96,13264.129525724475,14848.654262171958,24,235.04497609669772,-0.4327168692859189,1.4248742538577424,1.3017834971348443,2019-01-05T00:00:00Z
1,97,13257.112239203714,14831.799389996893,1,18.257300626112375,2.8930055704371176,-1.9653054828847818,1.3017834971348443,2019-01-05T01:00:00Z
1,98,13247.507682424532,14869.454051186382,2,38.86027560658471,-2.497339231517363,1.8205405927774436,1.345533269147078,2019-01-05T02:00:00Z
1,99,13321.846421472557,14935.636188022709,3,99.53051471519963,-1.0931228540974223,0.7274177386800218,1.2987712770700455,2019-01-05T03:00:00Z
1,100,13157.365778852414,14909.024427992306,4,166.61952937351242,2.5745775961424195,-2.981189972357144,1.3240937640269599,2019-01-05T04:00:00Z
2,1,8555.813552811742,5668.276199139655,1,0,-0.518610160091963,0,0,2019-01-01T01:00:00Z
2,2,8474.072951317328,5634.9458911082065,2,88.27477196877744,-2.7544170868133504,-2.7544170868133477,2.352672815322876,2019-01-01T02:00:00Z
2,3,8234.531485247522,5485.285640534433,3,282.4505347289628,0.1712641296784394,-2.5831529571349083,1.9947200765212378,2019-01-01T03:00:00Z
2,4,8244.420105640313,5367.763481807524,4,117.93745208840764,1.096301497129235,-1.4868514600056746,2.0118683328231177,2019-01-01T04:00:00Z
